,Incident Datetime,Incident Description,Analysis Neighborhood,Intersection,Latitude,Longitude
40,2020/08/16 09:18:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,MISSION ST \ ANNIE ST,37.78685171458376,-122.40126150328635
105,2020/08/15 10:00:00 PM,"Vehicle, Stolen, Auto",Excelsior,EDINBURGH ST \ PERU AVE,37.7274574828607,-122.42730210944559
108,2020/08/15 01:30:00 PM,"Vehicle, Stolen, Truck",Mission Bay,04TH ST \ KING ST,37.7763329755656,-122.39403506751226
115,2020/08/15 10:00:00 AM,"Vehicle, Stolen, Auto",Outer Mission,BAYWOOD CT \ GENEVA AVE,37.718673898998055,-122.44330154859405
122,2020/08/14 04:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,MCKINNON AVE \ LANE ST,37.73482338101582,-122.38738174406456
126,2020/08/16 07:48:00 PM,"Vehicle, Stolen, Auto",Mission,24TH ST \ CAPP ST,37.752305977826595,-122.41735781829728
151,2020/08/15 11:00:00 AM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,CAPITOL AVE \ MONTANA ST,37.71660346139888,-122.45906354733843
155,2020/08/16 04:00:00 AM,"Vehicle, Stolen, Auto",Tenderloin,HYDE ST \ TURK ST,37.78258503232177,-122.41569387441228
189,2020/08/16 11:00:00 AM,"Vehicle, Stolen, Auto",Outer Richmond,BALBOA ST \ GREAT HWY,37.77507596005672,-122.51129492624534
196,2020/08/12 01:00:00 PM,"Vehicle, Stolen & Recovered",Bayview Hunters Point,QUINT ST \ OAKDALE AVE,37.73778405361255,-122.39594482891908
257,2020/08/15 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Tenderloin,TAYLOR ST \ EDDY ST,37.784141011304186,-122.41095161908785
276,2020/08/16 03:00:00 AM,"Vehicle, Stolen, Truck",Sunset/Parkside,EL MIRASOL PL \ CRESTLAKE DR,37.73499436389617,-122.48597549145737
299,2020/08/17 05:42:00 AM,"Vehicle, Stolen, Attempted",Nob Hill,LARKIN ST \ SACRAMENTO ST,37.7917040142914,-122.41922173749677
314,2020/08/14 06:00:00 PM,"Vehicle, Stolen, Truck",Mission,TREAT AVE \ 22ND ST,37.7557659128205,-122.41329405061052
337,2020/08/17 09:18:00 PM,"Vehicle, Stolen, Auto",Potrero Hill,ARKANSAS ST \ MARIPOSA ST,37.76373572668911,-122.39858041765093
385,2020/08/16 09:18:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,MISSION ST \ ANNIE ST,37.78685171458376,-122.40126150328635
399,2020/08/16 05:00:00 PM,"Vehicle, Stolen & Recovered",Marina,SCOTT ST \ CAPRA WAY,37.802510497213724,-122.44165496787063
403,2020/08/16 02:00:00 PM,"Vehicle, Stolen, Motorcycle",Nob Hill,POLK ST \ PINE ST,37.789620437184965,-122.42049344331696
418,2020/08/11 06:00:00 PM,"Vehicle, Stolen, Truck",Bayview Hunters Point,YOSEMITE AVE \ INGALLS ST,37.724729109115316,-122.3879304959651
462,2020/08/16 07:00:00 PM,"Vehicle, Stolen, Truck",Potrero Hill,24TH ST \ RHODE ISLAND ST,37.753293597761186,-122.40146789061443
482,2020/08/16 07:45:00 PM,"Vehicle, Stolen, Auto",Mission,GOUGH ST \ COLTON ST,37.772343919036004,-122.42106807582995
511,2020/08/17 02:19:00 AM,"Vehicle, Stolen, Auto",Inner Richmond,11TH AVE \ CLEMENT ST,37.782701904216424,-122.46976999223313
519,2020/08/17 08:00:00 AM,"Vehicle, Stolen & Recovered",Outer Richmond,BALBOA ST \ GREAT HWY,37.77507596005672,-122.51129492624534
540,2020/08/16 11:55:00 PM,"Vehicle, Stolen, Auto",Mission,FOLSOM ST \ 13TH ST,37.769591159430654,-122.41557701614047
549,2020/08/17 06:00:00 AM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,SARGENT ST \ BYXBEE ST,37.71609349499745,-122.46981802903387
564,2020/08/15 12:00:00 PM,"Vehicle, Stolen, Auto",South of Market,CLEMENTINA ST \ 06TH ST,37.778942760437076,-122.40616285916313
580,2020/08/16 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Outer Richmond,BALBOA ST \ 17TH AVE,37.77669297309456,-122.47588827206799
581,2020/08/17 07:36:00 AM,"Vehicle, Stolen & Recovered",Sunset/Parkside,25TH AVE \ NORIEGA ST,37.75395723424183,-122.4828993573348
601,2020/08/17 02:00:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,REVERE AVE \ JENNINGS ST,37.72954271057539,-122.38641847685012
606,2020/08/16 08:57:00 PM,"Vehicle, Stolen, Attempted",Hayes Valley,GOUGH ST \ PAGE ST,37.77408497416307,-122.42240711807443
609,2020/08/15 10:15:00 PM,"Vehicle, Stolen, Auto",South of Market,MORRIS ST \ HARRISON ST,37.77769982632851,-122.40352964283514
623,2020/08/17 06:42:00 PM,"Vehicle, Stolen & Recovered",Tenderloin,OFARRELL ST \ JONES ST,37.78578958358186,-122.41296966814406
