,PARKING_SPACE_ID,POST_ID,STREET_NAME,shape
4,132860,658-01430,SPEAR ST,POINT (-122.39334 37.792076)
158,147657,104-02980,04TH AVE,POINT (-122.462204 37.78316)
161,147926,104-02960,04TH AVE,POINT (-122.46221 37.783176)
172,143048,521-00110,KIRKHAM ST,POINT (-122.460846 37.760464)
177,134179,359-01240,CLAY ST,POINT (-122.39776 37.79538)
178,154493,418-07110,FOLSOM ST,POINT (-122.39923 37.783413)
179,132888,418-00760,FOLSOM ST,POINT (-122.3908 37.790306)
180,133116,561-03490,MAIN ST,POINT (-122.390564 37.788452)
182,132543,864-04730,SPEAR ST,POINT (-122.388565 37.78826)
183,144527,442-02050,GOLDEN GATE AVE,POINT (-122.41413 37.781754)
184,137017,471-08350,HARRISON ST,POINT (-122.40066 37.779823)
185,137147,331-06200,BRYANT ST,POINT (-122.3987 37.77917)
186,163639,471-06410,HARRISON ST,POINT (-122.39626 37.783283)
187,137946,331-06050,BRYANT ST,POINT (-122.39817 37.77933)
188,155932,614-01300,POST ST,POINT (-122.4048 37.788795)
190,163881,614-06280,POST ST,POINT (-122.41266 37.78781)
191,134213,500-01010,JACKSON ST,POINT (-122.39845 37.797012)
192,140009,568-06590,MISSION ST,POINT (-122.40107 37.786877)
193,135527,571-08100,MONTGOMERY ST,POINT (-122.403496 37.79675)
194,140203,418-06450,FOLSOM ST,POINT (-122.39786 37.784492)
195,137741,524-01320,KING ST,POINT (-122.39063 37.77924)
198,137807,330-03800,BRANNAN ST,POINT (-122.39381 37.78058)
199,137970,330-04870,BRANNAN ST,POINT (-122.39604 37.778572)
201,155981,470-09820,HOWARD ST,POINT (-122.40676 37.780148)
202,133456,422-02120,FRONT ST,POINT (-122.39873 37.793545)
206,134409,616-12160,POWELL ST,POINT (-122.40989 37.79606)
207,159535,472-05110,HYDE ST,POINT (-122.416405 37.785767)
208,138137,330-05500,BRANNAN ST,POINT (-122.39787 37.77737)
209,135256,444-07070,GRANT AVE,POINT (-122.40622 37.793674)
210,144613,563-01360,MCALLISTER ST,POINT (-122.41499 37.78082)
211,136218,331-04830,BRYANT ST,POINT (-122.395386 37.78153)
212,133837,350-00110,CALIFORNIA ST,POINT (-122.39693 37.79351)
213,154504,203-01280,03RD ST,POINT (-122.40134 37.785576)
214,133760,720-01170,WASHINGTON ST,POINT (-122.39765 37.79622)
215,136230,819-00110,BROADWAY,POINT (-122.39819 37.798885)
216,134243,420-00220,FREMONT ST,POINT (-122.39767 37.791145)
217,155576,202-00060,02ND ST,POINT (-122.40111 37.78895)
218,155713,401-02110,ELLIS ST,POINT (-122.40994 37.785156)
219,133041,561-02150,MAIN ST,POINT (-122.393135 37.790512)
220,138919,470-06090,HOWARD ST,POINT (-122.39847 37.786476)
221,155546,501-01105,JESSIE ST,POINT (-122.40066 37.788227)
222,136369,444-06250,GRANT AVE,POINT (-122.40612 37.793194)
223,139076,651-00560,SANSOME ST,POINT (-122.400604 37.790913)
224,159509,546-05170,LEAVENWORTH ST,POINT (-122.4148 37.786175)
226,136009,571-07200,MONTGOMERY ST,POINT (-122.40337 37.796173)
227,133300,201-03510,01ST ST,POINT (-122.39306 37.78629)
228,137052,330-05260,BRANNAN ST,POINT (-122.397354 37.777782)
229,162766,612-15290,POLK ST,POINT (-122.42088 37.791203)
230,134574,201-03530,01ST ST,POINT (-122.393005 37.78625)
231,143496,442-01260,GOLDEN GATE AVE,POINT (-122.4131 37.782024)
232,133960,386-02125,DRUMM ST,POINT (-122.3967 37.795895)
234,138618,373-02600,CHANNEL ST,POINT (-122.39341 37.77305)
235,137771,471-08670,HARRISON ST,POINT (-122.40147 37.77919)
236,163716,206-01530,06TH ST,POINT (-122.4074 37.78006)
237,135993,720-05810,WASHINGTON ST,POINT (-122.40303 37.795486)
239,139681,463-01210,HAWTHORNE ST,POINT (-122.39708 37.78416)
241,136999,684-00800,TOWNSEND ST,POINT (-122.39031 37.780884)
242,137427,684-04317,TOWNSEND ST,POINT (-122.39845 37.774174)
243,132873,470-01220,HOWARD ST,POINT (-122.39328 37.7908)
244,139273,666-01060,SUTTER ST,POINT (-122.40248 37.790047)
245,135265,327-01370,BROADWAY,POINT (-122.40086 37.798515)
247,156106,470-11360,HOWARD ST,POINT (-122.41026 37.77738)
249,155761,614-02260,POST ST,POINT (-122.40618 37.78862)
250,139522,869-04160,TERRY A FRANCOIS BLVD,POINT (-122.38718 37.772625)
251,134392,444-11210,GRANT AVE,POINT (-122.407 37.797596)
252,136132,720-04510,WASHINGTON ST,POINT (-122.40146 37.795666)
253,138213,205-05110,05TH ST,POINT (-122.399895 37.777603)
254,133523,328-03210,BEALE ST,POINT (-122.39232 37.788486)
255,137247,418-09360,FOLSOM ST,POINT (-122.40436 37.779606)
256,159619,502-06080,JONES ST,POINT (-122.413124 37.786995)
258,140075,582-00130,NEW MONTGOMERY ST,POINT (-122.401505 37.788357)
259,145553,542-11190,LARKIN ST,POINT (-122.41864 37.78851)
260,131594,568-00290,MISSION ST,POINT (-122.3933 37.79302)
261,137618,471-08280,HARRISON ST,POINT (-122.400566 37.780155)
262,154909,614-04080,POST ST,POINT (-122.40878 37.7883)
263,155307,400-02030,EDDY ST,POINT (-122.41115 37.784054)
264,134859,616-12280,POWELL ST,POINT (-122.40994 37.796352)
265,133202,350-00060,CALIFORNIA ST,POINT (-122.39675 37.79369)
266,131685,612-14120,POLK ST,POINT (-122.42048 37.789978)
267,136760,324-05150,BATTERY ST,POINT (-122.4006 37.796043)
268,161483,418-01070,FOLSOM ST,POINT (-122.39112 37.789814)
